ts_code,list_date,delist_date
ANRCF,20110124,
ANSLF,19781130,
ANSLY,20071001,
ANSS,19960619,
ANSU,20050905,
ANTE,20071026,
ANTGF,20171023,
ANTH,20100301,
ANTI,19881014,
ANTM,20011030,
ANTOF,20150305,
ANVS,20200129,
ANVV,20180202,
ANXGF,20130430,
ANY,20130812,
ANZBY,19890206,
ANZFF,20011207,
ANZLY,20160407,
AOBI,20120529,
AOCIF,20120502,
AOECF,20200316,
AOGC,20030812,
AOHLF,20200416,
AOIFF,19600101,
AOLS,19960201,
AOMFF,20140113,
AOMOY,20010109,
AON,19800530,
AONCF,20140922,
AONNF,19740924,
AONNY,19900928,
AOOO,19990614,
AOREF,20060426,
AOS,19830930,
AOSL,20100430,
AOTOF,20000313,
AOTUF,20140113,
AOTVF,20140113,
AOVTF,20140113,
AOWDF,20150304,
AOXG,20000822,
AOXY,19810716,
AOZOF,20140425,
AOZOY,20120827,
AP,19620702,
APA,19630802,
APAAF,20170113,
APAFF,19600101,
APAJF,20000517,
APAM,20130307,
APCDF,20140113,
APCOF,20130729,
APCX,19970207,
APD,19620702,
APDN,19991101,
APDSF,20140113,
APEI,20071106,
APELF,20160502,
APELY,20010109,
APEMY,20110126,
APEN,19910620,
APEOF,19600101,
APEUF,20100813,
APEX,19910605,
APG,20171011,
APGI,19951005,
APGLF,20120830,
APGMF,20140115,
APH,19911108,
APHA,20150318,
APHE,20170720,
APHTF,20170125,
API,20200626,
APLD,20020115,
APLE,20150518,
APLIF,20200520,
APLN,20040323,
APLO,20031024,
APLS,20171109,
APLT,20190514,
APLUF,20200624,
APM,20181218,
APMCF,19600101,
APMFF,19600101,
APMSF,20120522,
APNHF,20140113,
APNHY,20090123,
APO,20110331,
APOG,19721214,
APOP,20160729,
APOPRA,20170301,
APPB,20160602,
APPCF,20170316,
APPEF,20180403,
APPF,20150626,
APPM,20041005,
APPN,20170525,
APPS,20060609,
APPZ,20100309,
APQT,20181220,
APRAF,19600101,
APRE,20191003,
APRM,20040525,
APRN,20170629,
APRO,20070514,
APRU,20071016,
APSI,20140122,
APT,20000404,
APTCF,20010216,
APTEF,20120120,
APTL,19901228,
APTO,20100426,
APTPF,20130603,
APTS,20110402,
APTTF,20130904,
APTV,20111117,
APTVPRA,20200611,
APTX,20180621,
APTY,20151116,
APVNF,20140113,
APVO,20160720,
APVS,20120726,
APWC,19970326,
APWL,20040624,
APXNF,20180622,
APXT,20191105,
APXTU,20190917,
APYI,19830922,
APYP,20141215,
APYRF,20070507,
APYX,19830721,
AQARF,20060502,
AQB,20170111,
AQBN,20150604,
AQCP,20020613,
AQFD,20190828,
AQFH,20120723,
AQIS,19940519,
AQMS,20150731,
AQN,19600101,
AQQRF,20170908,
AQQSQ,20011120,
AQSP,19990604,
AQST,20180725,
AQSZF,20150616,
AQUA,20171118,
AQUI,20000225,
AR,20131010,
ARA,20160421,
ARAFF,20070313,
ARAO,19990331,
ARAT,20140219,
ARAV,20140324,
ARAY,20070207,
ARBFF,20140626,
ARBI,20100521,
ARBTF,20160308,
ARBU,20010212,
ARBV,20120729,
ARC,20041020,
ARCAY,19931230,
ARCB,19920513,
ARCE,20180926,
ARCH,20161005,
ARCO,20110415,
ARCS,20100818,
ARCT,20130522,
ARCUF,20100312,
ARCVF,20140113,
ARCW,20190722,
ARCXF,20140113,
ARD,20170315,
ARDMQ,20130919,
ARDS,20190124,
ARDX,20140619,
ARDZF,20190715,
ARE,19970523,
AREB,20180123,
AREC,20151125,
AREM,19880204,
ARES,20140502,
ARESF,20140113,
ARESPRA,20160614,
AREVF,20190430,
AREXQ,20071019,
ARFXF,20140113,
ARGC,20181127,
ARGGY,20190416,
ARGKF,20140113,
ARGL,20060302,
ARGNF,20150430,
ARGO,19870325,
ARGQ,20160602,
ARGTF,20191009,
ARGW,19970925,
ARGX,20170518,
ARGYF,20150603,
ARHH,20170719,
ARHI,19970410,
ARHN,19930924,
