date,code,close,preclose,volume,isST,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
2015/11/6,sz.300059,64.66,58.78,128156963,0,55.695,52.7845,42.6544,54.647,50.97185,121106378.6,93073595.64,0.091676515,0.08397773,-5,0,-5
2015/11/9,sz.300059,67.25,64.66,142485772,0,57.2,54.008,43.0932,54.8992,51.1156,121061746.9,94387858.34,0.018939394,0.091416309,-5,0,-5
2015/11/10,sz.300059,67.33,67.25,91513239,0,58.191,55.1865,43.6152,55.15193333,51.2658,120721380.2,94808290.92,0.018916465,0.058087707,0.347548921,0,0.347548921
2015/11/11,sz.300059,66.21,67.33,79605938,0,59.311,56.287,44.1972,55.3972,51.4108,120274904.6,95377228.86,0.001664145,0.040248594,1.653569835,0,1.653569835
2015/11/12,sz.300059,63.54,66.21,115752721,0,60.164,57.033,44.8,55.62466667,51.52795,119412442.5,96217254.7,0.040181269,0.069732716,-5,0,-5
2015/11/13,sz.300059,63.13,63.54,82406439,0,61.135,57.5155,45.4614,55.8494,51.623,116247174.1,95602325.76,0.016422476,0.055555556,1.380289303,0,1.380289303
2015/11/16,sz.300059,67.05,63.13,84050577,0,62.698,58.2135,46.141,56.10026667,51.73765,114006679.3,94890518.58,0.086709887,0.092920354,1.142362982,0,1.142362982
2015/11/17,sz.300059,63,67.05,136527625,0,63.806,58.5775,46.6934,56.32413333,51.83205,115661725.3,94947748.84,0.074889868,0.092898551,-5,0,-5
2015/11/18,sz.300059,60.3,63,92862345,0,64.125,59.0825,47.2356,56.53,51.91295,113894495.6,94789697.54,0.039808917,0.051833123,0.203329327,0,0.203329327
2015/11/19,sz.300059,62.8,60.3,81683311,0,64.527,59.5505,47.8258,56.75253333,52.00395,110975993.5,93889976.6,0.029508197,0.041494436,1.300103168,0,1.300103168
2015/11/20,sz.300059,60.94,62.8,78129721,0,64.155,59.925,48.3818,56.96266667,52.1079,109142425.2,93143054.46,0.023240904,0.036433365,1.61185754,0,1.61185754
2015/11/23,sz.300059,60.81,60.94,73677670,0,63.511,60.3555,48.9172,57.17193333,52.2005,107056639.2,92907589.94,0.004957858,0.057422306,2.069789987,0,2.069789987
2015/11/24,sz.300059,62.96,60.81,78118968,0,63.074,60.6325,49.4404,57.39553333,52.307,103613033.8,92512262.8,0.042384106,0.050552923,1.555825613,0,1.555825613
2015/11/25,sz.300059,65.4,62.96,115250130,0,62.993,61.152,49.995,57.6158,52.4345,102501634.2,92169224.86,0.0464,0.082089552,-5,0,-5
2015/11/26,sz.300059,61.86,65.4,89114174,0,62.825,61.4945,50.5066,57.79086667,52.5437,101624041.1,92704045.68,0.05412844,0.063636364,0.387240023,0,0.387240023
2015/11/27,sz.300059,58.21,61.86,94111866,0,62.333,61.734,50.9344,57.91786667,52.6422,101215578.5,93523583.74,0.048856209,0.078104994,-5,0,-5
2015/11/30,sz.300059,56.71,58.21,90571633,0,61.299,61.9985,51.4058,58.00873333,52.721,101982344.2,94124777.64,0.027272727,0.087871077,0.377493018,0,0.377493018
2015/12/1,sz.300059,56.03,56.71,56057041,0,60.602,62.204,51.9298,58.06633333,52.78115,101485502.3,93981909.12,0.008318584,0.042145594,4.035337064,0,4.035337064
2015/12/2,sz.300059,57.56,56.03,67058293,0,60.328,62.2265,52.4248,58.10253333,52.84795,98040243.95,93910247.42,0.027857143,0.069767442,2.859321017,0,2.859321017
2015/12/3,sz.300059,59.01,57.56,86985485,0,59.949,62.238,52.9526,58.11366667,52.9246,93205995.55,93828618.16,0.029842932,0.054527264,0.729322598,0,0.729322598
2015/12/4,sz.300059,57.19,59.01,65697285,0,59.574,61.8645,53.4082,58.07446667,53.0043,90083011.65,93575352.56,0.015662651,0.044906166,2.979210529,0,2.979210529
2015/12/7,sz.300059,57.59,57.19,59257152,0,59.252,61.3815,53.8086,57.99586667,53.086,85921580.65,92847697.7,0.012126538,0.038038884,3.617811376,0,3.617811376
2015/12/8,sz.300059,54.68,57.59,60668205,0,58.424,60.749,54.1522,57.8516,53.15315,84379328.95,92073926.94,0.037154429,0.04366966,3.410924567,0,3.410924567
2015/12/9,sz.300059,54.27,54.68,40792541,0,57.311,60.152,54.4876,57.65373333,53.21825,82438659.1,92889777.76,0.006407909,0.028787334,5.608500528,0,5.608500528
2015/12/10,sz.300059,56.59,54.27,91677851,0,56.784,59.8045,54.8694,57.51826667,53.29495,81234915.6,94723334.78,0.042557111,0.090330149,0.321513573,0,0.321513573
2015/12/11,sz.300059,56.47,56.59,56589218,0,56.61,59.4715,55.2488,57.39466667,53.37105,79944054.55,95855119.14,0.011101164,0.03989547,4.096380193,0,4.096380193
2015/12/14,sz.300059,59,56.47,71339830,0,56.839,59.069,55.6788,57.28613333,53.4598,79308517.2,97281915.74,0.052631579,0.057239057,2.666691496,0,2.666691496
2015/12/15,sz.300059,58.23,59,58215413,0,57.059,58.8305,56.0934,57.19433333,53.5447,75392906.6,98446224,0.018871104,0.027067922,4.086577358,0,4.086577358
