,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
1438,300059.SZ,20160526,20.3,20.78,19.67,20.59,20.26,0.33,1.63,926167.02,1869807.603,20.299999999999947,20.789999999999974,32.39420000000005,44.09399999999999,43.88304999999998,889922.6305000007,945621.5211999986,0.014285714285714244,0.05341674687199227,-5.0,-12.100000000000001,-17.1
1439,300059.SZ,20160527,20.41,20.47,20.07,20.19,20.59,-0.4,-1.94,691469.54,1402881.5098,20.353999999999946,20.744499999999974,32.08960000000005,43.936866666666646,43.67449999999999,873362.4185000008,949071.6077999985,0.010779029887310086,0.019540791402051713,-5.0,-7.100000000000001,-12.100000000000001
1440,300059.SZ,20160530,19.89,20.36,19.8,19.99,20.19,-0.2,-0.99,551947.36,1107334.2306,20.334999999999944,20.652999999999974,31.80040000000005,43.775466666666645,43.46394999999998,848477.5625000007,950175.6473999985,0.005027652086475509,0.027504911591355537,-5.0,-8.100000000000001,-13.100000000000001
1441,300059.SZ,20160531,20.05,21.99,20.05,21.99,19.99,2.0,10.01,2063949.66,4446880.1809,20.473999999999947,20.605999999999973,31.54620000000005,43.597933333333316,43.27284999999999,877943.4175000007,983229.1699999984,0.0967581047381545,0.08822191905411542,-5.0,-13.600000000000001,-18.6
1442,300059.SZ,20160601,22.48,22.66,21.96,21.99,21.99,0.0,0.0,1908415.13,4247108.4212,20.68799999999995,20.581499999999973,31.25420000000005,43.387999999999984,43.08329999999999,928802.7410000006,1002371.9323999984,0.02179715302491112,0.03089143865842892,-5.0,-11.600000000000001,-16.6
1443,300059.SZ,20160602,21.8,22.41,21.7,22.27,21.99,0.28,1.27,1275067.33,2822561.0008,20.90799999999995,20.562499999999975,30.98440000000005,43.18253333333332,42.887849999999986,959015.9805000008,1017080.1713999984,0.02155963302752288,0.03168228469433292,-5.0,-12.200000000000001,-17.200000000000003
1444,300059.SZ,20160603,22.31,24.1,22.03,23.0,22.27,0.73,3.28,2115397.27,4861633.9465,21.13399999999995,20.642499999999977,30.738200000000052,42.96439999999998,42.71954999999999,1015242.6005000006,1046247.0451999984,0.030927835051546452,0.08589211618257261,-5.0,-14.200000000000001,-19.200000000000003
1445,300059.SZ,20160606,22.99,23.35,22.69,23.0,23.0,0.0,0.0,1177683.54,2705223.7723,21.35899999999995,20.777499999999975,30.42140000000005,42.78306666666665,42.57959999999999,1025455.4375000006,1036365.4327999986,0.0004349717268378236,0.02826552462526767,-5.0,-8.700000000000001,-13.700000000000001
1446,300059.SZ,20160607,23.01,23.07,22.56,22.7,23.0,-0.3,-1.3,900646.44,2049199.5717,21.59799999999995,20.893999999999973,30.021000000000054,42.57813333333332,42.462599999999995,1041213.6800000006,1019223.5555999986,0.013472403302911875,0.022106631989596948,-5.0,-7.700000000000001,-12.700000000000001
1447,300059.SZ,20160608,22.52,22.58,22.11,22.31,22.7,-0.39,-1.72,876635.99,1961028.5526,21.802999999999948,21.016499999999972,29.567000000000053,42.37053333333332,42.32059999999999,1049873.1735000005,994371.1075999986,0.009325044404973394,0.020814880425154957,-5.0,-7.700000000000001,-12.700000000000001
